[2024-03-11 00:45:42,151][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp5vaayfsh/_remote_module_non_scriptable.py
[2024-03-11 00:45:50,164][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-11 00:45:50,164][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-11 00:50:41,808][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpu2rv8ta8
[2024-03-11 00:50:41,808][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpu2rv8ta8/_remote_module_non_scriptable.py
[2024-03-11 00:50:49,919][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-11 00:50:49,920][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-11 00:52:19,423][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpekypm83v
[2024-03-11 00:52:19,423][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpekypm83v/_remote_module_non_scriptable.py
[2024-03-11 00:52:28,736][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-11 00:52:28,736][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-11 00:53:08,251][torch.nn.parallel.distributed][INFO] - Reducer buckets have been rebuilt in this iteration.
[2024-03-11 00:53:16,786][pytorch_lightning.utilities.rank_zero][INFO] - `Trainer.fit` stopped: `max_steps=5` reached.
[2024-03-11 00:54:49,273][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpm68fn2ji
[2024-03-11 00:54:49,273][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpm68fn2ji/_remote_module_non_scriptable.py
[2024-03-11 00:54:57,377][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-11 00:54:57,378][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-11 00:57:58,130][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp8f01f322
[2024-03-11 00:57:58,130][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp8f01f322/_remote_module_non_scriptable.py
[2024-03-11 00:59:34,911][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp5p6r05qs
[2024-03-11 00:59:34,911][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp5p6r05qs/_remote_module_non_scriptable.py
[2024-03-11 00:59:43,011][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-11 00:59:43,011][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
